,lat,lon,latlon
15641,12.5282169,80.1836177,12.5282169;80.1836177
15642,12.132265,80.0138984,12.132265;80.0138984
15643,13.0147261,79.7110917,13.0147261;79.7110917
15644,13.1347549,78.1341748,13.1347549;78.1341748
15645,13.0580398,78.0759174,13.0580398;78.0759174
15646,13.1755873,78.0809703,13.1755873;78.0809703
15647,13.0363808,78.0027765,13.0363808;78.0027765
15648,13.0285683,77.4379835,13.0285683;77.4379835
15649,13.1035006,77.6077028,13.1035006;77.6077028
15650,13.1340435,77.9138733,13.1340435;77.9138733
15651,13.1340392,80.2082633,13.1340392;80.2082633
15652,13.1347463,80.1251542,13.1347463;80.1251542
15653,11.6557597,80.2075906,11.6557597;80.2075906
15654,12.7885414,79.7570879,12.7885414;79.7570879
15655,11.7634836,78.9592653,11.7634836;78.9592653
15656,11.1538717,78.2242176,11.1538717;78.2242176
15657,11.8882621,77.3283336,11.8882621;77.3283336
15658,11.2396031,77.61883782,11.2396031;77.61883782
15659,9.9423005,77.9675444,9.9423005;77.9675444
15660,12.5132621,77.4335348,12.5132621;77.4335348
15661,9.1702926,80.1405731,9.1702926;80.1405731
15662,9.4345034,79.7149221,9.4345034;79.7149221
15663,12.5161059,79.7753352,12.5161059;79.7753352
15664,10.3767198,79.3698267,10.3767198;79.3698267
15665,11.5158998,79.1972102,11.5158998;79.1972102
15666,12.8506446,79.7561403,12.8506446;79.7561403
15667,11.6361834,79.8911085,11.6361834;79.8911085
15668,8.7106208,78.1565274,8.7106208;78.1565274
15669,9.1712155,78.4370359,9.1712155;78.4370359
15670,9.2699324,77.2607122,9.2699324;77.2607122
15671,9.4574324,77.3644304,9.4574324;77.3644304
15672,9.8121876,77.2670417,9.8121876;77.2670417
15673,9.4499756,77.8920417,9.4499756;77.8920417
15674,10.2273129,77.5866815,10.2273129;77.5866815
15675,10.7457792,77.7273753,10.7457792;77.7273753
15676,10.7798705,77.8026031,10.7798705;77.8026031
15677,12.3066288,76.9849817,12.3066288;76.9849817
15678,10.7685053,80.2689369,10.7685053;80.2689369
15679,11.0007504,80.211421,11.0007504;80.211421
15680,11.2127636,80.2597102,11.2127636;80.2597102
15681,11.0973417,79.1387467,11.0973417;79.1387467
15682,11.1147495,79.6387467,11.1147495;79.6387467
15683,11.0714272,79.1728251,11.0714272;79.1728251
15684,12.5678788,78.2826667,12.5678788;78.2826667
15685,12.400975,78.36719,12.400975;78.36719
15686,11.119005,76.963425,11.119005;76.963425
15687,12.9133987,79.9779792,12.9133987;79.9779792
15688,12.9268938,79.1392133,12.9268938;79.1392133
15689,13.0472697,79.4816179,13.0472697;79.4816179
15690,13.0231337,78.1163112,13.0231337;78.1163112
15691,11.1468551,78.1099817,11.1468551;78.1099817
15692,10.4622297,78.3449606,10.4622297;78.3449606
15693,12.8315113,78.4565601,12.8315113;78.4565601
15694,12.8795636,77.0479483,12.8795636;77.0479483
15695,12.8312898,77.6615659,12.8312898;77.6615659
15696,11.9354746,77.2666983,11.9354746;77.2666983
15697,10.9243753,80.1974707,10.9243753;80.1974707
15698,10.4508935,80.3040173,10.4508935;80.3040173
15699,10.5839583,80.2670417,10.5839583;80.2670417
15700,11.1166071,79.4849817,11.1166071;79.4849817
15701,11.599331,79.2661629,11.599331;79.2661629
15702,11.9461771,79.3131067,11.9461771;79.3131067
15703,10.6554943,79.5503101,10.6554943;79.5503101
15704,10.1521767,78.1566506,10.1521767;78.1566506
15705,9.9903446,78.7531602,9.9903446;78.7531602
15706,12.2023231,78.1530807,12.2023231;78.1530807
15707,11.3088193,78.8221273,11.3088193;78.8221273
15708,11.7054346,77.0043683,11.7054346;77.0043683
15709,10.9882061,77.8559996,10.9882061;77.8559996
15710,10.4509264,77.383007,10.4509264;77.383007
15711,10.7406917,77.8829382,10.7406917;77.8829382
15712,10.7534883,80.2079055,10.7534883;80.2079055
15713,10.7946678,80.1837953,10.7946678;80.1837953
15714,11.7478014,79.0230966,11.7478014;79.0230966
15715,11.6696721,79.4356761,11.6696721;79.4356761
15716,11.3088829,79.7368625,11.3088829;79.7368625
15717,11.052836,79.4158773,11.052836;79.4158773
15718,11.6529843,79.2567301,11.6529843;79.2567301
15719,12.6916911,78.0491564,12.6916911;78.0491564
15720,11.462283,78.2046649,11.462283;78.2046649
15721,11.6746476,78.1457348,11.6746476;78.1457348
15722,11.3188253,77.5212014,11.3188253;77.5212014
15723,12.9058256,80.2460892,12.9058256;80.2460892
15724,13.0830318,80.0826994,13.0830318;80.0826994
15725,13.0606571,80.142371,13.0606571;80.142371
15726,13.0702481,80.2822545,13.0702481;80.2822545
15727,13.1157003,79.6165717,13.1157003;79.6165717
15728,12.9022686,79.0647126,12.9022686;79.0647126
15729,13.1306139,79.8126257,13.1306139;79.8126257
15730,13.0983011,79.3694001,13.0983011;79.3694001
15731,13.0982968,78.9587014,13.0982968;78.9587014
15732,13.09084,78.1533412,13.09084;78.1533412
15733,9.940827,78.4836219,9.940827;78.4836219
15734,9.4173895,78.6966463,9.4173895;78.6966463
15735,11.6363302,77.5423459,11.6363302;77.5423459
15736,10.0172701,76.94125,10.0172701;76.94125
15737,12.3489034,80.2103217,12.3489034;80.2103217
15738,10.3626866,80.2082348,10.3626866;80.2082348
15739,11.3221791,80.2756501,11.3221791;80.2756501
15740,10.1643088,80.1621013,10.1643088;80.1621013
15741,11.0454548,79.0703009,11.0454548;79.0703009
15742,10.7014987,78.1666044,10.7014987;78.1666044
15743,11.6517645,80.0767312,11.6517645;80.0767312
15744,9.3698654,78.5267209,9.3698654;78.5267209
15745,11.1482254,77.1749523,11.1482254;77.1749523
15746,11.4027357,77.8538983,11.4027357;77.8538983
15747,12.923314,77.0030773,12.923314;77.0030773
15748,8.690512,77.0094756,8.690512;77.0094756
15749,8.2487479,77.481054,8.2487479;77.481054
15750,11.1153397,76.9353871,11.1153397;76.9353871
15751,9.1709872,80.1973878,9.1709872;80.1973878
15752,9.9937767,80.2052003,9.9937767;80.2052003
15753,9.8293542,79.4783629,9.8293542;79.4783629
15754,9.4635938,78.8291154,9.4635938;78.8291154
15755,10.2861,78.0492108,10.2861;78.0492108
15756,10.3684167,77.7059274,10.3684167;77.7059274
15757,10.3456949,76.9792276,10.3456949;76.9792276
15758,10.9533,80.17233,10.9533;80.17233
15759,10.3503061,80.1631033,10.3503061;80.1631033
15760,10.8520889,80.2568533,10.8520889;80.2568533
15761,11.0875267,80.1993374,11.0875267;80.1993374
15762,11.6656517,80.1837124,11.6656517;80.1837124
15763,11.8325598,78.3253394,11.8325598;78.3253394
15764,11.0800785,78.1683479,11.0800785;78.1683479
